time_seconds,note_midi,confidence
0.2322,58,0.83
0.4296,53,0.81
0.4412,55,0.82
0.5805,30,0.82
0.6153,36,0.83
0.8243,37,0.92
0.8359,38,0.81
0.9288,33,0.89
1.0217,35,0.86
1.0333,36,0.85
1.2307,37,0.91
1.3468,43,0.84
1.3700,37,0.87
1.3816,36,0.86
1.4280,39,0.80
1.4396,29,0.87
1.4629,38,0.85
1.5209,43,0.81
1.6254,34,0.88
1.6602,40,0.90
1.6718,39,0.90
1.6834,39,0.88
1.9853,35,0.82
1.9969,35,0.85
2.6703,36,0.86
2.8328,38,0.81
2.9605,39,0.90
2.9722,40,0.94
2.9838,41,0.87
3.0070,33,0.84
3.0650,42,0.87
3.0766,43,0.92
6.3390,55,0.90
6.3507,42,0.85
6.8151,29,0.81
7.5929,29,0.81
7.8832,31,0.88
7.8948,31,0.81
8.2315,30,0.83
8.6610,31,0.82
8.7771,31,0.82
9.1487,29,0.80
9.3576,31,0.82
9.3693,31,0.83
9.5086,33,0.83
9.5202,33,0.85
9.7176,35,0.80
9.7292,35,0.81
9.7408,35,0.85
9.7524,35,0.87
9.7640,35,0.91
9.7756,35,0.94
9.7872,35,0.85
10.6347,35,0.83
10.6463,35,0.89
10.6580,35,0.92
10.6696,35,0.94
10.6812,35,0.84
10.7276,35,0.83
12.1208,47,0.84
13.1425,36,0.85
14.0132,42,0.85
14.0249,30,0.86
14.0365,29,0.84
14.0481,41,0.89
14.0597,41,0.90
14.0713,41,0.84
14.2222,29,0.81
15.0465,29,0.80
15.1162,31,0.88
15.1278,31,0.81
15.1394,31,0.83
15.1510,31,0.85
15.1742,31,0.81
15.1859,31,0.85
15.1975,31,0.85
15.2091,31,0.81
15.2207,31,0.84
15.2323,31,0.92
15.2439,31,0.92
15.2555,31,0.92
15.2671,31,0.88
15.2787,31,0.83
15.2903,31,0.83
15.4297,30,0.86
15.4529,49,0.83
16.0334,32,0.81
16.0450,31,0.85
16.0566,31,0.87
16.0682,31,0.85
16.1611,31,0.85
16.1727,31,0.85
16.1843,31,0.90
16.1959,31,0.92
16.2075,31,0.92
16.2191,31,0.92
16.2307,31,0.84
16.9506,34,0.81
17.0899,35,0.83
17.1015,35,0.83
17.1131,35,0.86
17.1247,35,0.92
17.1363,35,0.92
17.1479,35,0.92
17.1595,35,0.95
17.1712,35,0.90
17.1828,36,0.93
17.1944,36,0.94
17.2060,36,0.87
17.2176,36,0.85
17.2292,36,0.80
17.2640,35,0.83
17.2756,35,0.86
17.2873,35,0.89
17.2989,35,0.94
17.3105,35,0.89
17.5775,35,0.85
17.5891,35,0.82
17.7517,35,0.85
17.7633,35,0.90
17.7749,35,0.85
17.7865,47,0.81
17.8794,35,0.85
17.9722,35,0.81
17.9839,35,0.82
18.0187,35,0.82
18.0303,35,0.90
18.0419,35,0.93
18.0535,35,0.93
18.0651,35,0.92
18.0767,35,0.91
18.0883,35,0.88
18.1000,35,0.82
18.1464,30,0.82
18.1580,29,0.85
18.1696,29,0.84
18.1812,48,0.90
18.1928,48,0.89
18.2044,48,0.88
18.2161,47,0.93
18.2277,46,0.81
18.5179,47,0.81
18.5411,46,0.81
19.1100,34,0.87
19.1216,41,0.84
19.1332,41,0.88
19.1449,53,0.86
19.1565,53,0.89
19.1681,53,0.88
19.1797,53,0.86
19.1913,53,0.83
19.5512,40,0.85
19.5628,41,0.86
19.5976,39,0.82
19.6093,39,0.91
19.6209,39,0.93
19.6325,39,0.94
19.6441,39,0.93
20.0969,38,0.84
20.1085,38,0.86
20.1201,38,0.81
20.1317,38,0.81
20.2130,87,0.89
20.2246,86,0.93
20.2362,86,0.88
20.2478,38,0.90
20.2594,38,0.84
20.2710,38,0.88
20.2826,39,0.92
20.2942,39,0.86
20.3059,38,0.91
20.3175,38,0.85
20.3291,38,0.94
20.3407,38,0.93
20.3523,38,0.92
20.3639,38,0.86
20.4568,39,0.88
20.4684,39,0.87
20.4800,38,0.86
20.5032,38,0.89
20.5148,37,0.85
20.5264,37,0.86
20.5380,39,0.86
20.5497,38,0.95
20.5729,38,0.97
20.5961,112,0.82
20.6077,112,0.84
20.6193,111,0.85
20.6309,111,0.84
20.8515,38,0.84
20.8631,39,0.82
21.1534,113,0.82
21.1650,113,0.83
21.2927,41,0.86
21.3043,41,0.91
21.3159,40,0.91
21.3275,40,0.86
22.2331,29,0.85
22.2912,30,0.82
22.3028,30,0.84
22.3144,30,0.87
22.3260,30,0.87
22.3376,30,0.82
22.3492,30,0.83
22.3608,30,0.91
22.3724,30,0.89
22.3840,30,0.87
22.3956,30,0.89
22.4073,30,0.88
22.4189,30,0.84
22.5234,31,0.81
22.6278,31,0.82
22.6395,31,0.83
22.6511,31,0.84
22.6627,31,0.89
22.6743,43,0.84
23.1271,31,0.81
23.1387,31,0.84
23.1967,31,0.83
23.2083,31,0.80
23.2316,31,0.83
23.2432,31,0.88
23.2548,31,0.87
23.2664,31,0.86
23.2780,31,0.83
23.2896,31,0.81
23.3012,31,0.81
23.3128,31,0.82
23.3244,31,0.81
23.4289,31,0.92
23.4405,31,0.89
23.4522,31,0.85
23.6960,31,0.81
23.7192,43,0.86
23.7308,43,0.84
23.7656,31,0.82
23.8005,31,0.81
24.0327,31,0.81
24.1371,45,0.84
24.1488,45,0.86
24.1604,33,0.89
24.1720,33,0.87
24.1836,33,0.89
24.1952,33,0.89
24.2068,33,0.86
24.2184,33,0.87
24.2300,33,0.90
24.2416,45,0.88
24.2532,45,0.90
24.2649,45,0.92
24.4854,35,0.83
24.4971,35,0.80
24.5087,35,0.82
24.5435,35,0.85
24.5551,35,0.81
24.5783,35,0.88
24.5899,35,0.88
24.6015,35,0.89
24.6132,35,0.91
24.6248,35,0.89
24.6364,35,0.90
24.6480,35,0.92
24.6596,35,0.93
